AXPBY,1000000,10
Threads,Time (s),Performance (GIt/s)
1,5.16459,0.968132
2,2.54291,1.96625
3,1.82473,2.74013
4,1.4933,3.34829
5,1.30368,3.83531
6,1.22063,4.09623
7,1.19623,4.17978
8,1.13038,4.42329
9,1.09974,4.54651
10,1.08288,4.6173
11,1.02258,4.8896
12,0.958068,5.21884
13,0.933637,5.3554
14,0.898977,5.56188
15,0.899977,5.5557
16,0.901182,5.54827
17,0.904263,5.52936
18,0.909164,5.49956
19,0.856328,5.83889
20,0.813519,6.14614
21,0.780335,6.40751
22,0.738485,6.77062
23,0.706667,7.07547
24,0.678389,7.3704
25,0.651463,7.67503
26,0.634969,7.87439
27,0.598944,8.34803
28,0.580892,8.60746
29,0.559433,8.93763
30,0.540583,9.24928
31,0.521439,9.58884
32,0.510069,9.8026
33,0.489186,10.2211
34,0.477826,10.4641
35,0.459478,10.8819
36,0.452906,11.0398
37,0.436699,11.4495
38,0.425159,11.7603
39,0.414474,12.0635
40,0.404495,12.3611
41,0.394732,12.6668
42,0.384241,13.0127
43,0.374393,13.3549
44,0.363466,13.7564
45,0.353308,14.152
46,0.34871,14.3386
47,0.34135,14.6477
48,0.352646,14.1785
49,0.327546,15.265
50,0.318536,15.6968
51,0.315314,15.8572
52,0.308175,16.2246
53,0.301176,16.6016
54,0.295594,16.9151
55,0.292352,17.1027
56,0.284271,17.5888
57,0.280374,17.8333
58,0.274571,18.2102
59,0.269518,18.5517
60,0.264862,18.8777
61,0.259607,19.2599
62,0.257616,19.4087
63,0.252623,19.7923
64,0.245931,20.3309
65,0.244662,20.4363
66,0.238642,20.9519
67,0.234545,21.3179
68,0.231836,21.5669
69,0.230582,21.6843
70,0.23125,21.6216
71,0.221358,22.5878
72,0.220215,22.7051
