AXPBY,1000000,10
Threads,Time (s),Performance (GIt/s)
1,8.14179,0.614116
2,4.48301,1.11532
3,3.25632,1.53547
4,2.71768,1.8398
5,2.47607,2.01933
6,2.24371,2.22845
7,2.13763,2.33904
8,2.04565,2.44421
9,1.92631,2.59564
10,1.86542,2.68037
11,1.82632,2.73775
12,1.76048,2.84014
13,1.73701,2.87851
14,1.65067,3.02907
15,1.63973,3.04929
16,1.61321,3.09942
17,1.58817,3.14827
18,1.60329,3.11859
19,1.51061,3.30992
20,1.41757,3.52717
21,1.37581,3.63421
22,1.30096,3.8433
23,1.24278,4.02324
24,1.18607,4.2156
25,1.14565,4.36435
26,1.10026,4.5444
27,1.04691,4.77596
28,1.01728,4.91507
29,0.979862,5.10276
30,0.9512,5.25652
31,0.909953,5.49479
32,0.90172,5.54496
33,0.857257,5.83256
34,0.842369,5.93564
35,0.817678,6.11488
36,0.797896,6.26648
37,0.773088,6.46757
38,0.751558,6.65284
39,0.727259,6.87513
40,0.721863,6.92652
41,0.700302,7.13978
42,0.682699,7.32387
43,0.659082,7.58631
44,0.65373,7.64841
45,0.625762,7.99026
46,0.630989,7.92407
47,0.602324,8.30118
48,0.60701,8.2371
49,0.580703,8.61026
50,0.570779,8.75995
51,0.559905,8.93009
52,0.55308,9.04028
53,0.5329,9.38263
54,0.529141,9.44929
55,0.520033,9.61478
56,0.509372,9.816
57,0.503604,9.92844
58,0.497703,10.0462
59,0.487976,10.2464
60,0.480877,10.3977
61,0.467948,10.685
62,0.465411,10.7432
63,0.458516,10.9047
64,0.451316,11.0787
65,0.434649,11.5035
66,0.43585,11.4718
67,0.42971,11.6358
68,0.425055,11.7632
69,0.414314,12.0682
70,0.407885,12.2584
71,0.402296,12.4287
72,0.400987,12.4692
