Size_GB,Bandwidth_MByte_s
0.000010,1392960.99
0.000029,2275093.60
0.000048,2737766.77
0.000095,3184195.07
0.000191,3378352.01
0.000238,3537888.12
0.000334,3559031.05
0.000412,3616922.18
0.000477,3593865.84
0.000977,1902054.85
0.002930,1948901.29
0.006836,1928410.31
0.011719,1930952.17
0.015625,1761447.34
0.024414,784622.83
0.039062,252836.59
0.058594,210315.36
0.097656,115940.19
0.244141,94796.24
0.488281,90723.38
0.732422,90278.12
1.000000,89716.92
