Size_GB,Bandwidth_MByte_s
0.000412,108350.26
0.000977,102564.80
0.015625,29897.58
0.024414,28660.58
0.039062,24055.76
0.058594,20331.37
0.097656,17670.49
0.244141,16596.77
0.488281,16137.15
0.732422,16142.99
1.000000,16130.18
