Size_GB,Bandwidth_MByte_s
0.0010,1489334.26
0.0029,1948297.10
0.0049,1944559.92
0.0098,1922417.31
0.0195,1355361.93
0.0293,325264.89
0.0391,252302.24
0.0488,240936.58
0.0586,204853.42
0.0781,158030.85
0.0977,116525.79
0.1221,104488.53
0.1465,100776.83
0.1709,98452.57
0.1953,96968.77
0.2197,95705.55
0.2441,94446.61
0.2686,93912.90
0.2930,93409.03
0.3174,92604.91
0.3418,92411.68
0.4883,91013.71
0.6348,90501.84
0.7324,90405.67
0.8789,89964.67
1.0000,90052.31
1.4648,89761.22
