Size_GB,Bandwidth_MByte_s
0.000010,1368677.65
0.000029,2157854.20
0.000048,2744707.33
0.000095,2907764.34
0.000191,3362973.69
0.000238,3545349.97
0.000334,3595237.91
0.000412,3596228.07
0.000477,3629603.26
0.000977,1910722.34
0.002930,1945112.84
0.006836,1931973.09
0.011719,1920920.64
0.015625,1653147.93
0.024414,687636.47
0.039062,241157.05
0.058594,192690.90
0.097656,113867.08
0.244141,94533.30
0.488281,90347.24
0.732422,90123.95
1.000000,89847.92
