SPMV BENCHMARK
Benchmarking across 1 Node
matrix:garon2
threads,time,performance
1,0.239969,0.813869GFlops/s 
2,0.122407,1.59553GFlops/s 
3,0.0823087,2.37282GFlops/s 
4,0.0683731,2.85644GFlops/s 
5,0.0598018,3.26585GFlops/s 
6,0.0528654,3.69435GFlops/s 
7,0.0484079,4.03454GFlops/s 
8,0.0455917,4.28375GFlops/s 
9,0.0428788,4.55479GFlops/s 
10,0.0403412,4.84129GFlops/s 
