rm -f benchmark
icpx -std=c++20 -O3 -xHost -qopenmp -o benchmark src/main.cpp src/timing.c src/mmio.cpp
Gauss Seidel BENCHMARK
Benchmarking across 1 Node
 no: of threads 72
Iter 194: Residual = 0.257003
Iter 195: Residual = 0.249329
Iter 196: Residual = 0.241884
Iter 197: Residual = 0.234662
Iter 198: Residual = 0.227655
Iter 199: Residual = 0.220857
Iter 200: Residual = 0.214263
Iter 201: Residual = 0.207865
Iter 202: Residual = 0.201658
Iter 203: Residual = 0.195637
Iter 204: Residual = 0.189795
Iter 205: Residual = 0.184128
Iter 206: Residual = 0.17863
Iter 207: Residual = 0.173296
Iter 208: Residual = 0.168121
Iter 209: Residual = 0.163101
Iter 210: Residual = 0.158231
Iter 211: Residual = 0.153506
Iter 212: Residual = 0.148922
Iter 213: Residual = 0.144475
Iter 214: Residual = 0.140161
Iter 215: Residual = 0.135976
Iter 216: Residual = 0.131916
Iter 217: Residual = 0.127977
Iter 218: Residual = 0.124155
Iter 219: Residual = 0.120448
Iter 220: Residual = 0.116851
Iter 221: Residual = 0.113362
Iter 222: Residual = 0.109977
Iter 223: Residual = 0.106693
Iter 224: Residual = 0.103507
Iter 225: Residual = 0.100416
Iter 226: Residual = 0.0974175
Iter 227: Residual = 0.0945085
Iter 228: Residual = 0.0916863
Iter 229: Residual = 0.0889485
Iter 230: Residual = 0.0862924
Iter 231: Residual = 0.0837156
Iter 232: Residual = 0.0812157
Iter 233: Residual = 0.0787905
Iter 234: Residual = 0.0764377
Iter 235: Residual = 0.0741552
Iter 236: Residual = 0.0719408
Iter 237: Residual = 0.0697925
Iter 238: Residual = 0.0677084
Iter 239: Residual = 0.0656865
Iter 240: Residual = 0.063725
Iter 241: Residual = 0.0618221
Iter 242: Residual = 0.059976
Iter 243: Residual = 0.058185
Iter 244: Residual = 0.0564475
Iter 245: Residual = 0.0547619
Iter 246: Residual = 0.0531266
Iter 247: Residual = 0.0515402
Iter 248: Residual = 0.0500011
Iter 249: Residual = 0.048508
Iter 250: Residual = 0.0470594
Iter 251: Residual = 0.0456541
Iter 252: Residual = 0.0442908
Iter 253: Residual = 0.0429682
Iter 254: Residual = 0.0416851
Iter 255: Residual = 0.0404403
Iter 256: Residual = 0.0392327
Iter 257: Residual = 0.0380611
Iter 258: Residual = 0.0369245
Iter 259: Residual = 0.0358219
Iter 260: Residual = 0.0347522
Iter 261: Residual = 0.0337144
Iter 262: Residual = 0.0327076
Iter 263: Residual = 0.0317309
Iter 264: Residual = 0.0307834
Iter 265: Residual = 0.0298641
Iter 266: Residual = 0.0289723
Iter 267: Residual = 0.0281071
Iter 268: Residual = 0.0272678
Iter 269: Residual = 0.0264535
Iter 270: Residual = 0.0256636
Iter 271: Residual = 0.0248972
Iter 272: Residual = 0.0241537
Iter 273: Residual = 0.0234324
Iter 274: Residual = 0.0227327
Iter 275: Residual = 0.0220538
Iter 276: Residual = 0.0213953
Iter 277: Residual = 0.0207564
Iter 278: Residual = 0.0201365
Iter 279: Residual = 0.0195352
Iter 280: Residual = 0.0189518
Iter 281: Residual = 0.0183859
Iter 282: Residual = 0.0178369
Iter 283: Residual = 0.0173042
Iter 284: Residual = 0.0167875
Iter 285: Residual = 0.0162862
Iter 286: Residual = 0.0157998
Iter 287: Residual = 0.015328
Iter 288: Residual = 0.0148703
Iter 289: Residual = 0.0144262
Iter 290: Residual = 0.0139954
Iter 291: Residual = 0.0135775
Iter 292: Residual = 0.013172
Iter 293: Residual = 0.0127787
Iter 294: Residual = 0.0123971
Iter 295: Residual = 0.0120269
Iter 296: Residual = 0.0116677
Iter 297: Residual = 0.0113193
Iter 298: Residual = 0.0109813
Iter 299: Residual = 0.0106533
Iter 300: Residual = 0.0103352
Iter 301: Residual = 0.0100266
Iter 302: Residual = 0.00972716
Iter 303: Residual = 0.00943668
Iter 304: Residual = 0.00915488
Iter 305: Residual = 0.00888149
Iter 306: Residual = 0.00861627
Iter 307: Residual = 0.00835897
Iter 308: Residual = 0.00810935
Iter 309: Residual = 0.00786719
Iter 310: Residual = 0.00763225
Iter 311: Residual = 0.00740434
Iter 312: Residual = 0.00718323
Iter 313: Residual = 0.00696872
Iter 314: Residual = 0.00676061
Iter 315: Residual = 0.00655873
Iter 316: Residual = 0.00636287
Iter 317: Residual = 0.00617286
Iter 318: Residual = 0.00598852
Iter 319: Residual = 0.00580969
Iter 320: Residual = 0.0056362
Iter 321: Residual = 0.00546789
Iter 322: Residual = 0.0053046
Iter 323: Residual = 0.00514619
Iter 324: Residual = 0.00499252
Iter 325: Residual = 0.00484343
Iter 326: Residual = 0.00469879
Iter 327: Residual = 0.00455847
Iter 328: Residual = 0.00442235
Iter 329: Residual = 0.00429029
Iter 330: Residual = 0.00416217
Iter 331: Residual = 0.00403787
Iter 332: Residual = 0.00391729
Iter 333: Residual = 0.00380031
Iter 334: Residual = 0.00368683
Iter 335: Residual = 0.00357673
Iter 336: Residual = 0.00346992
Iter 337: Residual = 0.0033663
Iter 338: Residual = 0.00326577
Iter 339: Residual = 0.00316825
Iter 340: Residual = 0.00307364
Iter 341: Residual = 0.00298185
Iter 342: Residual = 0.00289281
Iter 343: Residual = 0.00280642
Iter 344: Residual = 0.00272261
Iter 345: Residual = 0.00264131
Iter 346: Residual = 0.00256243
Iter 347: Residual = 0.00248591
Iter 348: Residual = 0.00241168
Iter 349: Residual = 0.00233966
Iter 350: Residual = 0.00226979
Iter 351: Residual = 0.00220201
Iter 352: Residual = 0.00213625
Iter 353: Residual = 0.00207246
Iter 354: Residual = 0.00201057
Iter 355: Residual = 0.00195053
Iter 356: Residual = 0.00189228
Iter 357: Residual = 0.00183577
Iter 358: Residual = 0.00178095
Iter 359: Residual = 0.00172777
Iter 360: Residual = 0.00167617
Iter 361: Residual = 0.00162612
Iter 362: Residual = 0.00157756
Iter 363: Residual = 0.00153045
Iter 364: Residual = 0.00148475
Iter 365: Residual = 0.00144041
Iter 366: Residual = 0.00139739
Iter 367: Residual = 0.00135566
Iter 368: Residual = 0.00131518
Iter 369: Residual = 0.00127591
Iter 370: Residual = 0.0012378
Iter 371: Residual = 0.00120084
Iter 372: Residual = 0.00116498
Iter 373: Residual = 0.00113019
Iter 374: Residual = 0.00109644
Iter 375: Residual = 0.0010637
Iter 376: Residual = 0.00103193
Iter 377: Residual = 0.00100112
Iter 378: Residual = 0.000971222
Iter 379: Residual = 0.000942219
Iter 380: Residual = 0.000914082
Iter 381: Residual = 0.000886785
Iter 382: Residual = 0.000860303
Iter 383: Residual = 0.000834613
Iter 384: Residual = 0.000809689
Iter 385: Residual = 0.00078551
Iter 386: Residual = 0.000762052
Iter 387: Residual = 0.000739296
Iter 388: Residual = 0.000717218
Iter 389: Residual = 0.000695801
Iter 390: Residual = 0.000675022
Iter 391: Residual = 0.000654864
Iter 392: Residual = 0.000635308
Iter 393: Residual = 0.000616337
Iter 394: Residual = 0.000597931
Iter 395: Residual = 0.000580076
Iter 396: Residual = 0.000562753
Iter 397: Residual = 0.000545948
Iter 398: Residual = 0.000529644
Iter 399: Residual = 0.000513828
Iter 400: Residual = 0.000498484
Iter 401: Residual = 0.000483598
Iter 402: Residual = 0.000469156
Iter 403: Residual = 0.000455146
Iter 404: Residual = 0.000441554
Iter 405: Residual = 0.000428369
Iter 406: Residual = 0.000415576
Iter 407: Residual = 0.000403166
Iter 408: Residual = 0.000391127
Iter 409: Residual = 0.000379447
Iter 410: Residual = 0.000368115
Iter 411: Residual = 0.000357123
Iter 412: Residual = 0.000346458
Iter 413: Residual = 0.000336112
Iter 414: Residual = 0.000326075
Iter 415: Residual = 0.000316337
Iter 416: Residual = 0.000306891
Iter 417: Residual = 0.000297726
Iter 418: Residual = 0.000288835
Iter 419: Residual = 0.00028021
Iter 420: Residual = 0.000271842
Iter 421: Residual = 0.000263724
Iter 422: Residual = 0.000255849
Iter 423: Residual = 0.000248209
Iter 424: Residual = 0.000240797
Iter 425: Residual = 0.000233606
Iter 426: Residual = 0.00022663
Iter 427: Residual = 0.000219862
Iter 428: Residual = 0.000213296
Iter 429: Residual = 0.000206927
Iter 430: Residual = 0.000200747
Iter 431: Residual = 0.000194753
Iter 432: Residual = 0.000188937
Iter 433: Residual = 0.000183295
Iter 434: Residual = 0.000177821
Iter 435: Residual = 0.000172511
Iter 436: Residual = 0.000167359
Iter 437: Residual = 0.000162362
Iter 438: Residual = 0.000157513
Iter 439: Residual = 0.000152809
Iter 440: Residual = 0.000148246
Iter 441: Residual = 0.000143819
Iter 442: Residual = 0.000139524
Iter 443: Residual = 0.000135358
Iter 444: Residual = 0.000131316
Iter 445: Residual = 0.000127394
Iter 446: Residual = 0.00012359
Iter 447: Residual = 0.000119899
Iter 448: Residual = 0.000116319
Iter 449: Residual = 0.000112845
Iter 450: Residual = 0.000109475
Iter 451: Residual = 0.000106206
Iter 452: Residual = 0.000103034
Iter 453: Residual = 9.99576e-05
Solver : Gauss Seidel Converged 
Time taken : 0.722208
Performance : 0.00138464GLUP/s 
---------------------------------------------------------------
