rm -f benchmark
icpx -std=c++20 -O3 -xHost -qopenmp -o benchmark src/main.cpp src/timing.c src/mmio.cpp
Jacobi BENCHMARK
 no: of threads 72
Iter 198: Residual = 0.50975
Iter 199: Residual = 0.490395
Iter 200: Residual = 0.471777
Iter 201: Residual = 0.453866
Iter 202: Residual = 0.436636
Iter 203: Residual = 0.420061
Iter 204: Residual = 0.404115
Iter 205: Residual = 0.388776
Iter 206: Residual = 0.374019
Iter 207: Residual = 0.359823
Iter 208: Residual = 0.346167
Iter 209: Residual = 0.333029
Iter 210: Residual = 0.320391
Iter 211: Residual = 0.308232
Iter 212: Residual = 0.296536
Iter 213: Residual = 0.285284
Iter 214: Residual = 0.274459
Iter 215: Residual = 0.264045
Iter 216: Residual = 0.254027
Iter 217: Residual = 0.24439
Iter 218: Residual = 0.235118
Iter 219: Residual = 0.226198
Iter 220: Residual = 0.217617
Iter 221: Residual = 0.209362
Iter 222: Residual = 0.201421
Iter 223: Residual = 0.193781
Iter 224: Residual = 0.186431
Iter 225: Residual = 0.17936
Iter 226: Residual = 0.172557
Iter 227: Residual = 0.166013
Iter 228: Residual = 0.159717
Iter 229: Residual = 0.15366
Iter 230: Residual = 0.147833
Iter 231: Residual = 0.142228
Iter 232: Residual = 0.136835
Iter 233: Residual = 0.131646
Iter 234: Residual = 0.126655
Iter 235: Residual = 0.121853
Iter 236: Residual = 0.117233
Iter 237: Residual = 0.112788
Iter 238: Residual = 0.108512
Iter 239: Residual = 0.104399
Iter 240: Residual = 0.100441
Iter 241: Residual = 0.0966338
Iter 242: Residual = 0.0929709
Iter 243: Residual = 0.0894469
Iter 244: Residual = 0.0860565
Iter 245: Residual = 0.0827948
Iter 246: Residual = 0.0796569
Iter 247: Residual = 0.0766379
Iter 248: Residual = 0.0737335
Iter 249: Residual = 0.0709392
Iter 250: Residual = 0.0682509
Iter 251: Residual = 0.0656645
Iter 252: Residual = 0.0631763
Iter 253: Residual = 0.0607824
Iter 254: Residual = 0.0584793
Iter 255: Residual = 0.0562635
Iter 256: Residual = 0.0541317
Iter 257: Residual = 0.0520808
Iter 258: Residual = 0.0501076
Iter 259: Residual = 0.0482093
Iter 260: Residual = 0.0463829
Iter 261: Residual = 0.0446257
Iter 262: Residual = 0.0429352
Iter 263: Residual = 0.0413088
Iter 264: Residual = 0.039744
Iter 265: Residual = 0.0382385
Iter 266: Residual = 0.0367901
Iter 267: Residual = 0.0353967
Iter 268: Residual = 0.034056
Iter 269: Residual = 0.0327661
Iter 270: Residual = 0.0315251
Iter 271: Residual = 0.0303312
Iter 272: Residual = 0.0291825
Iter 273: Residual = 0.0280774
Iter 274: Residual = 0.0270141
Iter 275: Residual = 0.0259911
Iter 276: Residual = 0.0250069
Iter 277: Residual = 0.0240599
Iter 278: Residual = 0.0231489
Iter 279: Residual = 0.0222724
Iter 280: Residual = 0.0214291
Iter 281: Residual = 0.0206177
Iter 282: Residual = 0.0198371
Iter 283: Residual = 0.019086
Iter 284: Residual = 0.0183635
Iter 285: Residual = 0.0176682
Iter 286: Residual = 0.0169994
Iter 287: Residual = 0.0163558
Iter 288: Residual = 0.0157367
Iter 289: Residual = 0.0151409
Iter 290: Residual = 0.0145678
Iter 291: Residual = 0.0140164
Iter 292: Residual = 0.0134858
Iter 293: Residual = 0.0129754
Iter 294: Residual = 0.0124842
Iter 295: Residual = 0.0120117
Iter 296: Residual = 0.0115571
Iter 297: Residual = 0.0111197
Iter 298: Residual = 0.0106988
Iter 299: Residual = 0.0102939
Iter 300: Residual = 0.00990436
Iter 301: Residual = 0.00952954
Iter 302: Residual = 0.00916891
Iter 303: Residual = 0.00882194
Iter 304: Residual = 0.0084881
Iter 305: Residual = 0.0081669
Iter 306: Residual = 0.00785787
Iter 307: Residual = 0.00756054
Iter 308: Residual = 0.00727446
Iter 309: Residual = 0.00699921
Iter 310: Residual = 0.00673439
Iter 311: Residual = 0.00647959
Iter 312: Residual = 0.00623444
Iter 313: Residual = 0.00599856
Iter 314: Residual = 0.00577162
Iter 315: Residual = 0.00555326
Iter 316: Residual = 0.00534318
Iter 317: Residual = 0.00514104
Iter 318: Residual = 0.00494655
Iter 319: Residual = 0.00475943
Iter 320: Residual = 0.00457939
Iter 321: Residual = 0.00440616
Iter 322: Residual = 0.00423949
Iter 323: Residual = 0.00407913
Iter 324: Residual = 0.00392483
Iter 325: Residual = 0.00377638
Iter 326: Residual = 0.00363354
Iter 327: Residual = 0.00349611
Iter 328: Residual = 0.00336388
Iter 329: Residual = 0.00323665
Iter 330: Residual = 0.00311424
Iter 331: Residual = 0.00299646
Iter 332: Residual = 0.00288314
Iter 333: Residual = 0.0027741
Iter 334: Residual = 0.00266919
Iter 335: Residual = 0.00256825
Iter 336: Residual = 0.00247113
Iter 337: Residual = 0.00237768
Iter 338: Residual = 0.00228777
Iter 339: Residual = 0.00220126
Iter 340: Residual = 0.00211802
Iter 341: Residual = 0.00203794
Iter 342: Residual = 0.00196088
Iter 343: Residual = 0.00188673
Iter 344: Residual = 0.0018154
Iter 345: Residual = 0.00174676
Iter 346: Residual = 0.00168071
Iter 347: Residual = 0.00161717
Iter 348: Residual = 0.00155603
Iter 349: Residual = 0.0014972
Iter 350: Residual = 0.00144059
Iter 351: Residual = 0.00138613
Iter 352: Residual = 0.00133373
Iter 353: Residual = 0.00128331
Iter 354: Residual = 0.00123479
Iter 355: Residual = 0.00118811
Iter 356: Residual = 0.0011432
Iter 357: Residual = 0.00109999
Iter 358: Residual = 0.00105841
Iter 359: Residual = 0.0010184
Iter 360: Residual = 0.000979902
Solver : Jacobi Converged 
Time taken : 3.67945
Performance : 0.00027178GLUP/s 
---------------------------------------------------------------
