11 warnings generated.
Jacobi BENCHMARK
 no: of threads 72
Iter 202: Residual = 0.474443
Iter 203: Residual = 0.45645
Iter 204: Residual = 0.439141
Iter 205: Residual = 0.422488
Iter 206: Residual = 0.406467
Iter 207: Residual = 0.391055
Iter 208: Residual = 0.376227
Iter 209: Residual = 0.361962
Iter 210: Residual = 0.348238
Iter 211: Residual = 0.335036
Iter 212: Residual = 0.322334
Iter 213: Residual = 0.310114
Iter 214: Residual = 0.298358
Iter 215: Residual = 0.287047
Iter 216: Residual = 0.276166
Iter 217: Residual = 0.265698
Iter 218: Residual = 0.255627
Iter 219: Residual = 0.245938
Iter 220: Residual = 0.236616
Iter 221: Residual = 0.227648
Iter 222: Residual = 0.219021
Iter 223: Residual = 0.21072
Iter 224: Residual = 0.202734
Iter 225: Residual = 0.195052
Iter 226: Residual = 0.18766
Iter 227: Residual = 0.180549
Iter 228: Residual = 0.173708
Iter 229: Residual = 0.167126
Iter 230: Residual = 0.160793
Iter 231: Residual = 0.154701
Iter 232: Residual = 0.14884
Iter 233: Residual = 0.1432
Iter 234: Residual = 0.137775
Iter 235: Residual = 0.132556
Iter 236: Residual = 0.127534
Iter 237: Residual = 0.122703
Iter 238: Residual = 0.118055
Iter 239: Residual = 0.113583
Iter 240: Residual = 0.10928
Iter 241: Residual = 0.105141
Iter 242: Residual = 0.101158
Iter 243: Residual = 0.097327
Iter 244: Residual = 0.0936407
Iter 245: Residual = 0.0900942
Iter 246: Residual = 0.0866821
Iter 247: Residual = 0.0833993
Iter 248: Residual = 0.0802409
Iter 249: Residual = 0.0772022
Iter 250: Residual = 0.0742786
Iter 251: Residual = 0.0714658
Iter 252: Residual = 0.0687597
Iter 253: Residual = 0.066156
Iter 254: Residual = 0.063651
Iter 255: Residual = 0.061241
Iter 256: Residual = 0.0589222
Iter 257: Residual = 0.0566913
Iter 258: Residual = 0.0545449
Iter 259: Residual = 0.0524799
Iter 260: Residual = 0.050493
Iter 261: Residual = 0.0485815
Iter 262: Residual = 0.0467423
Iter 263: Residual = 0.0449728
Iter 264: Residual = 0.0432704
Iter 265: Residual = 0.0416324
Iter 266: Residual = 0.0400565
Iter 267: Residual = 0.0385402
Iter 268: Residual = 0.0370814
Iter 269: Residual = 0.0356779
Iter 270: Residual = 0.0343275
Iter 271: Residual = 0.0330282
Iter 272: Residual = 0.0317782
Iter 273: Residual = 0.0305755
Iter 274: Residual = 0.0294183
Iter 275: Residual = 0.028305
Iter 276: Residual = 0.0272338
Iter 277: Residual = 0.0262032
Iter 278: Residual = 0.0252116
Iter 279: Residual = 0.0242575
Iter 280: Residual = 0.0233396
Iter 281: Residual = 0.0224564
Iter 282: Residual = 0.0216067
Iter 283: Residual = 0.0207891
Iter 284: Residual = 0.0200025
Iter 285: Residual = 0.0192457
Iter 286: Residual = 0.0185175
Iter 287: Residual = 0.0178169
Iter 288: Residual = 0.0171428
Iter 289: Residual = 0.0164942
Iter 290: Residual = 0.0158702
Iter 291: Residual = 0.0152698
Iter 292: Residual = 0.0146921
Iter 293: Residual = 0.0141363
Iter 294: Residual = 0.0136016
Iter 295: Residual = 0.013087
Iter 296: Residual = 0.012592
Iter 297: Residual = 0.0121157
Iter 298: Residual = 0.0116574
Iter 299: Residual = 0.0112164
Iter 300: Residual = 0.0107922
Iter 301: Residual = 0.010384
Iter 302: Residual = 0.00999121
Iter 303: Residual = 0.00961331
Iter 304: Residual = 0.00924972
Iter 305: Residual = 0.00889989
Iter 306: Residual = 0.00856329
Iter 307: Residual = 0.00823943
Iter 308: Residual = 0.00792783
Iter 309: Residual = 0.00762801
Iter 310: Residual = 0.00733954
Iter 311: Residual = 0.00706199
Iter 312: Residual = 0.00679493
Iter 313: Residual = 0.00653798
Iter 314: Residual = 0.00629075
Iter 315: Residual = 0.00605287
Iter 316: Residual = 0.005824
Iter 317: Residual = 0.00560378
Iter 318: Residual = 0.00539189
Iter 319: Residual = 0.00518802
Iter 320: Residual = 0.00499186
Iter 321: Residual = 0.00480312
Iter 322: Residual = 0.00462152
Iter 323: Residual = 0.00444679
Iter 324: Residual = 0.00427867
Iter 325: Residual = 0.0041169
Iter 326: Residual = 0.00396126
Iter 327: Residual = 0.0038115
Iter 328: Residual = 0.00366741
Iter 329: Residual = 0.00352877
Iter 330: Residual = 0.00339537
Iter 331: Residual = 0.00326701
Iter 332: Residual = 0.00314351
Iter 333: Residual = 0.00302468
Iter 334: Residual = 0.00291035
Iter 335: Residual = 0.00280034
Iter 336: Residual = 0.00269449
Iter 337: Residual = 0.00259264
Iter 338: Residual = 0.00249464
Iter 339: Residual = 0.00240035
Iter 340: Residual = 0.00230962
Iter 341: Residual = 0.00222233
Iter 342: Residual = 0.00213833
Iter 343: Residual = 0.00205752
Iter 344: Residual = 0.00197975
Iter 345: Residual = 0.00190493
Iter 346: Residual = 0.00183294
Iter 347: Residual = 0.00176367
Iter 348: Residual = 0.00169701
Iter 349: Residual = 0.00163288
Iter 350: Residual = 0.00157117
Iter 351: Residual = 0.0015118
Iter 352: Residual = 0.00145467
Iter 353: Residual = 0.0013997
Iter 354: Residual = 0.0013468
Iter 355: Residual = 0.00129591
Iter 356: Residual = 0.00124694
Iter 357: Residual = 0.00119983
Iter 358: Residual = 0.00115449
Iter 359: Residual = 0.00111087
Iter 360: Residual = 0.00106889
Iter 361: Residual = 0.0010285
Iter 362: Residual = 0.000989644
Iter 363: Residual = 0.000952252
